"fn","test","status","message"
"CVNND","single trait with NAs","OK",""
"CVNND","div_range = TRUE","OK",""
"CVNND","multi-trait matrix","OK",""
"CVNND","scale.tr = FALSE","OK",""
"MNND","single trait with NAs","OK",""
"MNND","multi-trait","OK",""
"MinNND","single trait","OK",""
"SDNND","single trait","OK",""
"SDND","single trait","OK",""
"MND","single trait","OK",""
"SumBL","gower.dist = TRUE","OK",""
"SumBL","gower.dist = FALSE","OK",""
"SumBL","method.hclust = complete","OK",""
"MinMaxMST","gower.dist = TRUE","OK",""
"MinMaxMST","gower.dist = FALSE","OK",""
"MinMaxMST","scale.tr = FALSE","OK",""
"Tstats","normal traits with NAs","OK",""
"Tstats","nperm = NULL","OK",""
"Tstats","SE = 2","OK",""
"Tstats","independantTraits = FALSE","OK",""
"print.Tstats","print method","OK",""
"summary.Tstats","summary method","OK",""
"sum_Tstats","type = binary","OK",""
"sum_Tstats","type = percent","OK",""
"sum_Tstats","type = site","OK",""
"sum_Tstats","type = p.value","OK",""
"sum_Tstats","type = all","OK",""
"ses.Tstats","normal","OK",""
"plot.Tstats","type = normal","OK",""
"plot.Tstats","type = simple","OK",""
"plot.Tstats","type = simple_range","OK",""
"plot.Tstats","type = barplot","OK",""
"barplot.Tstats","normal","OK",""
"ses","matrix obs","OK",""
"as.listofindex","single Tstats","OK",""
"ses.listofindex","from Tstats","OK",""
"plot.listofindex","normal","OK",""
"Pval","from Tstats","OK",""
"ComIndex","regional.ind","OK",""
"ComIndex","local","OK",""
"ComIndex","regional.pop","OK",""
"ComIndex","regional.pop.prab","OK",""
"ComIndex","nperm = NULL","OK",""
"print.ComIndex","print method","OK",""
"summary.ComIndex","summary method","OK",""
"Pval","from ComIndex","OK",""
"plot.ComIndex","type = normal","OK",""
"ComIndexMulti","multiple indices","ERROR","Known bug: crashes with >1 index ('list' cannot be coerced to 'double')"
"ComIndexMulti","single index with by.factor","OK",""
"print.ComIndexMulti","print method","OK",""
"summary.ComIndexMulti","summary method","OK",""
"plot.ComIndexMulti","type = normal","ERROR","'from' must be a finite number"
"IndexByGroups","two metrics","OK",""
"samplingSubsetData","type = proportion","OK",""
"samplingSubsetData","type = count","OK",""
"AbToInd","count type","ERROR","number of rows of traits and com need to be equal"
"RaoRel","weight = FALSE","OK",""
"RaoRel","weight = TRUE","OK",""
"RaoRel","Jost = TRUE","OK",""
"Fred","3 traits no NAs","OK",""
"partvar","3 nested factors","OK",""
"barPartvar","normal","OK",""
"piePartvar","normal","OK",""
"decompCTRE","normal","OK",""
"barplot.decompCTRE","resume = TRUE","OK",""
"barplot.decompCTRE","resume = FALSE","OK",""
"print.traitflex","normal","OK",""
"plot.traitflex","normal","OK",""
"plot.traitflex","use.percentage = FALSE","ERROR","argument ""height"" is missing, with no default"
"traitflex.anova","intercept-only formula","OK",""
"RandCom","defaults","OK",""
"RandCom","Internal filter","OK",""
"RandCom","External filter","OK",""
"RandCom","Both filters","OK",""
"plotRandtest","from Tstats","OK",""
"plotSpVar","traits with NAs","ERROR","attempt to set 'colnames' on an object with less than two dimensions"
"plotDistri","by plot","ERROR","'legend' is of length 0"
"plotSpPop","normal","OK",""
"plotSESvar","from Tstats","ERROR","argument is of length zero"
"plotCorTstats","from Tstats","OK",""
